Run 410: 5.639533758163452s, incorrect: 2, correct: 17
Run 411: 5.973094940185547s, incorrect: 3, correct: 17
Run 412: 6.021947145462036s, incorrect: 3, correct: 17
Run 413: 7.029909610748291s, incorrect: 7, correct: 17
Run 414: 6.275048017501831s, incorrect: 4, correct: 17
Run 415: 5.340022802352905s, incorrect: 1, correct: 17
Run 416: 6.313461542129517s, incorrect: 4, correct: 17
Run 417: 5.956181049346924s, incorrect: 3, correct: 17
Run 418: 7.148733615875244s, incorrect: 7, correct: 17
Run 419: 5.97689962387085s, incorrect: 3, correct: 17
Run 420: 5.336215496063232s, incorrect: 1, correct: 17
Run 421: 6.282513380050659s, incorrect: 4, correct: 17
Run 422: 5.625686407089233s, incorrect: 2, correct: 17
Run 423: 5.886808633804321s, incorrect: 3, correct: 17
Run 424: 6.891443252563477s, incorrect: 6, correct: 17
Run 425: 5.564498662948608s, incorrect: 2, correct: 17
Run 426: 5.681520223617554s, incorrect: 2, correct: 17
Run 427: 6.175619602203369s, incorrect: 4, correct: 17
Run 428: 5.096421241760254s, incorrect: 0, correct: 17
Run 429: 6.2423505783081055s, incorrect: 4, correct: 17
Run 430: 6.468310832977295s, incorrect: 5, correct: 17
Run 431: 8.014679193496704s, incorrect: 10, correct: 17
Run 432: 5.158726930618286s, incorrect: 0, correct: 17
Run 433: 5.631476402282715s, incorrect: 2, correct: 17
Run 434: 5.661305904388428s, incorrect: 2, correct: 17
Run 435: 5.939232110977173s, incorrect: 3, correct: 17
Run 436: 6.234448671340942s, incorrect: 4, correct: 17
Run 437: 5.5793092250823975s, incorrect: 2, correct: 17
Run 438: 5.790373802185059s, incorrect: 2, correct: 17
Run 439: 6.95163369178772s, incorrect: 6, correct: 17
Run 440: 6.557255983352661s, incorrect: 5, correct: 17
Run 441: 6.530779123306274s, incorrect: 5, correct: 17
Run 442: 5.5826966762542725s, incorrect: 2, correct: 17
Run 443: 6.559596300125122s, incorrect: 5, correct: 17
Run 444: 5.145054340362549s, incorrect: 0, correct: 17
Run 445: 5.865727424621582s, incorrect: 3, correct: 17
Run 446: 7.49125337600708s, incorrect: 8, correct: 17
Run 447: 6.6329638957977295s, incorrect: 5, correct: 17
Run 448: 5.98396372795105s, incorrect: 3, correct: 17
Run 449: 5.507467269897461s, incorrect: 1, correct: 17
Run 450: 5.598969459533691s, incorrect: 2, correct: 17
Run 451: 5.359134197235107s, incorrect: 1, correct: 17
Run 452: 6.417168140411377s, incorrect: 5, correct: 17
Run 453: 6.259028196334839s, incorrect: 4, correct: 17
Run 454: 5.977007627487183s, incorrect: 3, correct: 17
